,province,district,ur2012,weight,Consumption,s1q1,s1q3y,s1q13,s1q14,s3q4,s4aq6a,s4aq6b,s4aq8,s4aq9,s4aq11h,s4aq12,s4aq14,s4aq15,s4aq17,s4bq3,s4bq4,s4bq5,s6aq2
9337,Eastern Province,Kayonza,Rural,174.0945701,125556.4766,Male,12,No,Yes but residing in another household,No,Primary 2,Primary 3,Public,No problem,,Other non-relatives,7,Dropped out,Lack of interest,No,,No,No
9342,Eastern Province,Kayonza,Rural,174.0945701,99971.3125,Male,16,"Yes,and residing in the household",Yes and resident in household,No,Secondary 1,Secondary 2,Public,No problem,47000,Both parents,,,,Yes,Yes,Yes,No
9343,Eastern Province,Kayonza,Rural,174.0945701,99971.3125,Male,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,2000,Both parents,,,,Yes,Yes,Yes,No
9344,Eastern Province,Kayonza,Rural,174.0945701,99971.3125,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,1700,Both parents,,,,Yes,Yes,Yes,No
9346,Eastern Province,Kayonza,Rural,32.10702341,181228.0313,Female,11,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 1,Primary 2,Public,No problem,,Other relatives,,,,No,,No,No
9347,Eastern Province,Kayonza,Rural,32.10702341,181228.0313,Female,10,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 1,Primary 1,Public,No problem,,Other relatives,,,,No,,No,No
9353,Eastern Province,Kayonza,Rural,32.10702341,81267.71094,Female,18,"Yes,but residing in onother household",No,Yes,Primary 5,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
9356,Eastern Province,Kayonza,Rural,32.10702341,215220.5313,Female,15,No,Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,No,,No,No
9357,Eastern Province,Kayonza,Rural,32.10702341,215220.5313,Male,11,No,Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Mother,,,,No,,No,No
9362,Eastern Province,Kayonza,Rural,32.10702341,1714118.25,Female,14,No,Yes and resident in household,Yes,Primary 4,Primary 5,Public,No problem,,Mother,2,Poor health,,Yes,Yes,Yes,No
9363,Eastern Province,Kayonza,Rural,32.10702341,1714118.25,Male,10,No,Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Mother,,,,No,,No,No
9364,Eastern Province,Kayonza,Rural,32.10702341,1714118.25,Male,7,No,Yes and resident in household,Yes,Not in class,Primary 1,Public,No problem,,Mother,,,,,,,No
9376,Eastern Province,Kayonza,Rural,32.10702341,299209.4688,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 2,Public,No problem,,Both parents,,,,No,,No,No
9377,Eastern Province,Kayonza,Rural,32.10702341,299209.4688,Male,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Not in class,,,,,,,Lack of interest,No,,No,No
9378,Eastern Province,Kayonza,Rural,32.10702341,299209.4688,Male,9,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Primary 1,Public,No problem,,Both parents,,,,,,,No
9379,Eastern Province,Kayonza,Rural,32.10702341,299209.4688,Female,6,"Yes,and residing in the household",Yes and resident in household,Yes,,,,,,,,,,,,,No
9385,Eastern Province,Kayonza,Rural,32.10702341,174454.3594,Female,16,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Both parents,3,Financial Reasons,,Yes,Yes,Yes,No
9386,Eastern Province,Kayonza,Rural,32.10702341,174454.3594,Female,14,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 3,Primary 4,Public,No problem,,Both parents,2,Poor health,,Yes,Yes,Yes,No
9387,Eastern Province,Kayonza,Rural,32.10702341,174454.3594,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
9388,Eastern Province,Kayonza,Rural,32.10702341,174454.3594,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,Public,No problem,,Both parents,,,,,,,No
9389,Eastern Province,Kayonza,Rural,32.10702341,174454.3594,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,Public,No problem,,Both parents,,,,,,,No
9398,Eastern Province,Kayonza,Rural,32.10702341,259431.7031,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
9399,Eastern Province,Kayonza,Rural,32.10702341,259431.7031,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 3,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
9400,Eastern Province,Kayonza,Rural,32.10702341,259431.7031,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Both parents,,,,,,,No
9401,Eastern Province,Kayonza,Rural,32.10702341,259431.7031,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,Public,No problem,,Both parents,,,,,,,No
9405,Eastern Province,Kayonza,Rural,32.10702341,219240.2031,Male,11,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,7,Dropped out,Lack of interest,No,,No,No
9406,Eastern Province,Kayonza,Rural,32.10702341,219240.2031,Female,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
9410,Eastern Province,Kayonza,Rural,144.3586066,808800.9375,Male,16,"Yes,but residing in onother household",Yes but residing in another household,Yes,"Primary 6,7,8","Primary 6,7,8",Public,No problem,,Both parents,3,Holidays,,Yes,Yes,Yes,No
9411,Eastern Province,Kayonza,Rural,144.3586066,808800.9375,Male,13,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 3,Primary 4,Public,No problem,,Both parents,3,Holidays,,Yes,Yes,Yes,No
9412,Eastern Province,Kayonza,Rural,144.3586066,808800.9375,Female,12,"Yes,but residing in onother household",Yes but residing in another household,Yes,Primary 3,Primary 3,Public,No problem,,Both parents,3,Holidays,,Yes,Yes,Yes,No
9421,Eastern Province,Kayonza,Rural,144.3586066,515707.6875,Female,10,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Mother,,,,No,,No,No
9427,Eastern Province,Kayonza,Rural,144.3586066,270176.7813,Female,18,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
9428,Eastern Province,Kayonza,Rural,144.3586066,270176.7813,Female,16,"Yes,and residing in the household",Yes and resident in household,Yes,"Primary 6,7,8",Secondary 1,Private,No problem,,Other non-relatives,7,Dropped out,Lack of interest,Yes,Yes,Yes,Yes
9429,Eastern Province,Kayonza,Rural,144.3586066,270176.7813,Female,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,Primary 5,Public,No problem,,Both parents,,,,No,,Yes,No
9434,Eastern Province,Kayonza,Rural,144.3586066,138968.7656,Female,7,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,,,,,,,,No
9437,Eastern Province,Kayonza,Rural,144.3586066,293455.5938,Female,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,3,Holidays,,,,,No
9444,Eastern Province,Kayonza,Rural,144.3586066,375656.5938,Female,16,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
9445,Eastern Province,Kayonza,Rural,144.3586066,375656.5938,Female,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
9446,Eastern Province,Kayonza,Rural,144.3586066,375656.5938,Female,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,,,,No
9453,Eastern Province,Kayonza,Rural,144.3586066,319481.2813,Female,16,"Yes,and residing in the household",Yes and resident in household,No,Secondary 1,Secondary 2,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
9454,Eastern Province,Kayonza,Rural,144.3586066,319481.2813,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Free Subsidized,No problem,,Both parents,,,,,,,No
9455,Eastern Province,Kayonza,Rural,144.3586066,319481.2813,Male,12,"Yes,but residing in onother household",Yes but residing in another household,Yes,Primary 3,Primary 3,Free Subsidized,No problem,,Other relatives,,,,Yes,Yes,Yes,No
9459,Eastern Province,Kayonza,Rural,144.3586066,479834.9063,Male,7,"Yes,and residing in the household",Yes and resident in household,Yes,,,,,,,,,,,,,No
9465,Eastern Province,Kayonza,Rural,144.3586066,101995.0703,Male,12,No,Yes and resident in household,Yes,Primary 1,Primary 1,Public,No problem,,Other non-relatives,3,Holidays,,No,,No,No
9471,Eastern Province,Kayonza,Rural,161.6342229,176081.5625,Female,12,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Mother,7,Holidays,,No,,Yes,No
9472,Eastern Province,Kayonza,Rural,161.6342229,176081.5625,Male,9,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Mother,7,Holidays,,,,,No
9473,Eastern Province,Kayonza,Rural,161.6342229,176081.5625,Female,7,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,,,,,,,,No
9479,Eastern Province,Kayonza,Rural,161.6342229,212222.25,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Father,7,Holidays,,,,,No
9480,Eastern Province,Kayonza,Rural,161.6342229,212222.25,Female,7,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
9486,Eastern Province,Kayonza,Rural,161.6342229,143499.9219,Female,18,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
9487,Eastern Province,Kayonza,Rural,161.6342229,143499.9219,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,7,Holidays,,,,,No
9488,Eastern Province,Kayonza,Rural,161.6342229,143499.9219,Male,6,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,Books not available,,Both parents,7,Holidays,,,,,No
9494,Eastern Province,Kayonza,Rural,161.6342229,466369.1563,Male,17,"Yes,and residing in the household",Yes and resident in household,No,Secondary 1,Secondary 2,Public,Poor buildings & equipment,,Other Organization/Association,7,Holidays,,Yes,Yes,Yes,Yes
9495,Eastern Province,Kayonza,Rural,161.6342229,466369.1563,Female,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Father,7,Holidays,,Yes,Yes,Yes,No
9496,Eastern Province,Kayonza,Rural,161.6342229,466369.1563,Female,10,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 3,Primary 4,Public,No problem,,Father,7,Holidays,,Yes,Yes,Yes,No
9503,Eastern Province,Kayonza,Rural,161.6342229,87896,Male,7,"Yes,but residing in onother household",Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,,Other household members,7,Holidays,,,,,No
9510,Eastern Province,Kayonza,Rural,161.6342229,136063.5938,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 3,Free Subsidized,Not enough teachers,,Both parents,7,Holidays,,Yes,Yes,Yes,No
9511,Eastern Province,Kayonza,Rural,161.6342229,136063.5938,Female,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Free Subsidized,Not enough teachers,,Both parents,7,Holidays,,Yes,Yes,Yes,No
9512,Eastern Province,Kayonza,Rural,161.6342229,136063.5938,Female,7,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Primary 1,Free Subsidized,Not enough teachers,,Both parents,7,Holidays,,,,,No
9517,Eastern Province,Kayonza,Rural,202.7128556,239980.5781,Female,18,No,Yes and resident in household,No,,,,,,,,,,No,,No,Yes
9521,Eastern Province,Kayonza,Rural,202.7128556,106843.3359,Male,7,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Pre-primary,Public,No problem,,Both parents,,,,,,,No
9525,Eastern Province,Kayonza,Rural,202.7128556,270813.4375,Male,13,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 2,Primary 2,Public,No problem,,Both parents,,,,No,,Yes,No
9528,Eastern Province,Kayonza,Rural,202.7128556,329486.1875,Male,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 3,Free Subsidized,No problem,,Both parents,,,,Yes,Yes,Yes,No
9529,Eastern Province,Kayonza,Rural,202.7128556,329486.1875,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Free Subsidized,No problem,,Both parents,1,Poor health,,Yes,Yes,Yes,No
9530,Eastern Province,Kayonza,Rural,202.7128556,329486.1875,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Free Subsidized,No problem,,Both parents,,,,Yes,Yes,Yes,No
9531,Eastern Province,Kayonza,Rural,202.7128556,329486.1875,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Pre-primary,Free Subsidized,No problem,,Both parents,,,,,,,No
9532,Eastern Province,Kayonza,Rural,202.7128556,329486.1875,Female,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Pre-primary,Free Subsidized,No problem,,Both parents,,,,,,,No
9536,Eastern Province,Kayonza,Rural,202.7128556,131174.9531,Male,17,No,Yes and resident in household,No,Primary 3,Primary 4,Free Subsidized,No problem,,Mother,,,,Yes,Yes,Yes,No
9537,Eastern Province,Kayonza,Rural,202.7128556,131174.9531,Female,7,"Yes,but residing in onother household",Yes but residing in another household,Yes,Pre-primary,Primary 1,Free Subsidized,No problem,,Mother,,,,,,,No
9540,Eastern Province,Kayonza,Rural,202.7128556,131174.9531,Male,11,"Yes,but residing in onother household",No,No,Primary 1,Primary 2,Free Subsidized,No problem,,Other relatives,,,,No,,No,No
9543,Eastern Province,Kayonza,Rural,202.7128556,152512.2969,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Free Subsidized,Mediocre teaching,,Both parents,,,,Yes,Yes,Yes,No
9544,Eastern Province,Kayonza,Rural,202.7128556,152512.2969,Female,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Free Subsidized,Mediocre teaching,,Both parents,,,,,,,No
9545,Eastern Province,Kayonza,Rural,202.7128556,152512.2969,Female,7,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Free Subsidized,Mediocre teaching,,Both parents,,,,,,,No
9552,Eastern Province,Kayonza,Rural,202.7128556,376086.3125,Female,12,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Not in class,,,,,,,Lack of interest,No,,No,No
9553,Eastern Province,Kayonza,Rural,202.7128556,376086.3125,Female,8,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Mother,,,,,,,No
9554,Eastern Province,Kayonza,Rural,202.7128556,376086.3125,Female,7,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Pre-primary,Public,No problem,,Mother,,,,,,,No
9561,Eastern Province,Kayonza,Rural,202.7128556,311956.4063,Male,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 3,Free Subsidized,No problem,,Both parents,,,,Yes,Yes,Yes,No
9562,Eastern Province,Kayonza,Rural,202.7128556,311956.4063,Male,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Free Subsidized,No problem,,Both parents,,,,Yes,Yes,Yes,No
9563,Eastern Province,Kayonza,Rural,202.7128556,311956.4063,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Free Subsidized,No problem,,Both parents,,,,,,,No
9564,Eastern Province,Kayonza,Rural,202.7128556,311956.4063,Female,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Pre-primary,Free Subsidized,No problem,,Both parents,,,,,,,No
9568,Eastern Province,Kayonza,Rural,202.7128556,249468.8125,Male,18,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,No,,No,Yes
9569,Eastern Province,Kayonza,Rural,202.7128556,249468.8125,Female,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
9570,Eastern Province,Kayonza,Rural,202.7128556,249468.8125,Male,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Both parents,1,Family circumstances,,No,,No,No
9571,Eastern Province,Kayonza,Rural,202.7128556,249468.8125,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,,Both parents,,,,,,,No
9575,Eastern Province,Kayonza,Rural,202.7128556,275152.0625,Female,6,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Pre-primary,Public,No problem,,Other household members,,,,,,,No
9579,Eastern Province,Kayonza,Rural,202.7128556,2650619,Female,9,"Yes,and residing in the household",Yes but residing in another household,No,Pre-primary,Primary 1,Free Subsidized,No problem,,Mother,,,,,,,No
9580,Eastern Province,Kayonza,Rural,202.7128556,2650619,Male,6,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Pre-primary,Free Subsidized,No problem,,Father,,,,,,,No
9584,Eastern Province,Kayonza,Rural,202.7128556,182896.7188,Male,15,No,Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
9585,Eastern Province,Kayonza,Rural,202.7128556,182896.7188,Male,11,No,Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
9588,Eastern Province,Kayonza,Rural,35.44615385,214929.7188,Male,18,No,Yes but residing in another household,No,"Primary 6,7,8","Primary 6,7,8",Public,Mediocre teaching,,Mother,,,,Yes,Yes,Yes,No
9594,Eastern Province,Kayonza,Rural,35.44615385,139433.3594,Male,16,No,Yes and resident in household,No,Primary 3,Primary 3,Public,No problem,,Other household members,,,,No,,Yes,No
9595,Eastern Province,Kayonza,Rural,35.44615385,139433.3594,Male,15,No,No,No,Primary 5,Primary 5,Public,No problem,,Other household members,,,,Yes,Yes,Yes,No
9598,Eastern Province,Kayonza,Rural,35.44615385,177019.9688,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Both parents,,,,,,,No
9602,Eastern Province,Kayonza,Rural,35.44615385,325244.625,Female,18,"Yes,and residing in the household",Yes and resident in household,No,Secondary 1,Secondary 2,Public,No problem,,Both parents,7,Holidays,,Yes,Yes,Yes,No
9603,Eastern Province,Kayonza,Rural,35.44615385,325244.625,Female,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,Primary 5,Public,No problem,,Both parents,7,Holidays,,Yes,Yes,Yes,No
9604,Eastern Province,Kayonza,Rural,35.44615385,325244.625,Male,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 3,Public,No problem,,Both parents,7,Holidays,,No,,No,No
9605,Eastern Province,Kayonza,Rural,35.44615385,325244.625,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,7,Holidays,,,,,No
9606,Eastern Province,Kayonza,Rural,35.44615385,325244.625,Female,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
9609,Eastern Province,Kayonza,Rural,35.44615385,698008.5,Male,17,"Yes,and residing in the household",Yes and resident in household,No,"Primary 6,7,8",Secondary 1,Public,No problem,,Both parents,7,Dropped out,Lack of interest,Yes,Yes,Yes,No
9610,Eastern Province,Kayonza,Rural,35.44615385,698008.5,Female,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 4,Public,No problem,,Both parents,7,Holidays,,Yes,Yes,Yes,No
9611,Eastern Province,Kayonza,Rural,35.44615385,698008.5,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 2,Public,No problem,,Both parents,7,Holidays,,No,,No,No
9622,Eastern Province,Kayonza,Rural,35.44615385,241619.625,Male,13,"Yes,and residing in the household",No,No,Primary 2,Primary 3,Public,No problem,,Both parents,7,Holidays,,Yes,Yes,Yes,No
9624,Eastern Province,Kayonza,Rural,35.44615385,241619.625,Male,17,"Yes,but residing in onother household",Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Both parents,7,Holidays,,Yes,Yes,Yes,No
9629,Eastern Province,Kayonza,Rural,35.44615385,170393.4844,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,,,,No
9633,Eastern Province,Kayonza,Rural,35.44615385,146750.2656,Male,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Both parents,,,,Yes,No,Yes,No
9634,Eastern Province,Kayonza,Rural,35.44615385,146750.2656,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Both parents,,,,,,,No
9635,Eastern Province,Kayonza,Rural,35.44615385,146750.2656,Male,7,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
9643,Eastern Province,Kayonza,Rural,35.44615385,477005.8125,Male,17,"Yes,and residing in the household",Yes and resident in household,No,Secondary 1,Secondary 2,Public,No problem,34000,Both parents,,,,Yes,Yes,Yes,No
9644,Eastern Province,Kayonza,Rural,35.44615385,477005.8125,Female,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,Teachers absent,,Both parents,,,,Yes,Yes,Yes,No
9651,Eastern Province,Kirehe,Rural,52.13267544,99881.53906,Male,11,No,Yes and resident in household,No,,,,,,,,,,No,,No,No
9652,Eastern Province,Kirehe,Rural,52.13267544,99881.53906,Male,7,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,,,,,,,,No
9656,Eastern Province,Kirehe,Rural,52.13267544,124000.4609,Female,16,No,Yes and resident in household,No,Primary 4,Primary 4,Public,No problem,,Mother,6,Holidays,,Yes,Yes,Yes,No
9658,Eastern Province,Kirehe,Rural,52.13267544,544826.375,Male,10,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Mother,4,Holidays,,No,,No,No
9659,Eastern Province,Kirehe,Rural,52.13267544,544826.375,Female,6,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,,,,,,,,No
9666,Eastern Province,Kirehe,Rural,52.13267544,161973.0938,Female,14,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 5,"Primary 6,7,8",Private,No problem,,Both parents,6,Holidays,,Yes,Yes,Yes,No
9668,Eastern Province,Kirehe,Rural,52.13267544,56681.80078,Female,16,"Yes,but residing in onother household",Yes but residing in another household,No,Secondary 3,Secondary 4,Free Subsidized,No problem,,Father,6,Holidays,,Yes,Yes,Yes,No
9669,Eastern Province,Kirehe,Rural,52.13267544,56681.80078,Female,14,"Yes,but residing in onother household",Yes but residing in another household,No,"Primary 6,7,8",Secondary 1,Free Subsidized,No problem,,Father,6,Holidays,,Yes,Yes,Yes,No
9670,Eastern Province,Kirehe,Rural,52.13267544,56681.80078,Female,12,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 5,"Primary 6,7,8",Free Subsidized,No problem,,Father,6,Holidays,,Yes,Yes,Yes,No
9673,Eastern Province,Kirehe,Rural,52.13267544,233445.4063,Female,18,Dont know,Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Mother,6,Holidays,,Yes,Yes,Yes,No
9674,Eastern Province,Kirehe,Rural,52.13267544,233445.4063,Female,16,Dont know,Yes and resident in household,No,Primary 5,Primary 5,Public,No problem,,Mother,6,Holidays,,Yes,Yes,Yes,No
9675,Eastern Province,Kirehe,Rural,52.13267544,233445.4063,Male,13,Dont know,Yes and resident in household,No,Primary 3,Primary 3,Private,No problem,,Mother,6,Holidays,,Yes,Yes,Yes,No
9676,Eastern Province,Kirehe,Rural,52.13267544,233445.4063,Male,7,Dont know,Yes and resident in household,No,Not in class,Pre-primary,Public,No problem,,Mother,6,Holidays,,,,,No
9679,Eastern Province,Kirehe,Rural,52.13267544,150842.375,Female,16,No,No,Yes,Primary 5,"Primary 6,7,8",Private,No problem,,Other household members,6,Holidays,,Yes,Yes,Yes,No
9681,Eastern Province,Kirehe,Rural,52.13267544,217889.3125,Male,14,No,No,No,Primary 4,Primary 5,Public,No problem,,Other household members,7,Family circumstances,,Yes,Yes,Yes,No
9685,Eastern Province,Kirehe,Rural,52.13267544,219764.875,Female,13,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 4,Primary 5,Public,No problem,,Mother,6,Holidays,,Yes,Yes,Yes,No
9692,Eastern Province,Kirehe,Rural,174.4937388,212407.8438,Male,13,No,Yes but residing in another household,Yes,Primary 4,Primary 4,Public,No problem,,Other relatives,,,,Yes,Yes,Yes,No
9694,Eastern Province,Kirehe,Rural,174.4937388,170015.5,Female,14,No,Yes and resident in household,No,Primary 2,Primary 2,Public,No problem,,Mother,2,Family circumstances,,No,,Yes,No
9695,Eastern Province,Kirehe,Rural,174.4937388,170015.5,Male,12,No,Yes and resident in household,Yes,Primary 1,Primary 2,Public,No problem,,Mother,,,,No,,No,No
9699,Eastern Province,Kirehe,Rural,174.4937388,145737.7188,Female,9,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Primary 1,Public,No problem,,Other household members,,,,,,,No
9700,Eastern Province,Kirehe,Rural,174.4937388,145737.7188,Male,7,"Yes,but residing in onother household",Yes but residing in another household,No,,,,,,,,,,,,,No
9703,Eastern Province,Kirehe,Rural,174.4937388,154021.5781,Male,10,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 2,Primary 3,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
9704,Eastern Province,Kirehe,Rural,174.4937388,154021.5781,Female,6,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,Public,No problem,,Both parents,,,,,,,No
9712,Eastern Province,Kirehe,Rural,174.4937388,346373.0313,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
9715,Eastern Province,Kirehe,Rural,174.4937388,90290.01563,Male,17,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,Primary 5,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
9716,Eastern Province,Kirehe,Rural,174.4937388,90290.01563,Male,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Both parents,1,Family circumstances,,Yes,Yes,Yes,No
9717,Eastern Province,Kirehe,Rural,174.4937388,90290.01563,Male,11,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 1,Primary 2,Public,No problem,,Both parents,1,Poor health,,Yes,Yes,Yes,No
9718,Eastern Province,Kirehe,Rural,174.4937388,90290.01563,Male,8,"Yes,and residing in the household",Yes and resident in household,Yes,Pre-primary,Primary 1,Public,No problem,,Both parents,1,Poor health,,,,,No
9723,Eastern Province,Kirehe,Rural,174.4937388,178099.5469,Male,14,"Yes,and residing in the household",No,No,Primary 2,Not in class,,,,,,,Lack of interest,No,,No,Yes
9724,Eastern Province,Kirehe,Rural,174.4937388,178099.5469,Female,10,"Yes,and residing in the household",No,No,Primary 1,Primary 1,Public,No problem,,Other household members,,,,No,,No,No
9726,Eastern Province,Kirehe,Rural,174.4937388,164081.125,Male,11,No,Yes and resident in household,No,Primary 1,Primary 2,Public,Other (specify),,Mother,,,,Yes,Yes,Yes,No
9727,Eastern Province,Kirehe,Rural,174.4937388,164081.125,Female,9,No,Yes and resident in household,No,Primary 1,Primary 2,Public,Other (specify),,Mother,,,,,,,No
9728,Eastern Province,Kirehe,Rural,174.4937388,164081.125,Female,6,No,Yes and resident in household,No,,,,,,,,,,,,,No
